domain_name,count,domain_keywords
History Of Medicine,10,"[[""physiological discovery"", ""anatomical history"", ""medical history"", ""pulmonary circulation"", ""Ibn al-Nafis""], [""anatomical framework"", ""pulmonary circulation"", ""physiological history"", ""Ibn al-Nafis"", ""cardiovascular anatomy""]]"
Geometry Theory,10,"[[""group principle"", ""projective geometry"", ""Erlangen program"", ""Felix Klein""], [""geometric characterization"", ""projective geometry"", ""group framework"", ""Erlangen program"", ""Felix Klein"", ""group theory""]]"
Space Science,10,"[[""round-trip transit time"", ""Deep Space Network"", ""Lunar Laser Ranging"", ""deep space network"", ""radar astronomy""]]"
Observational Cosmology,10,"[[""James Webb Space Telescope"", ""redshift"", ""Big Bang chronology"", ""high-redshift galaxy""]]"
Probability Theory,9,"[[""probability mass function"", ""probability density function"", ""continuous vs discrete distributions"", ""random variables""]]"
Magnetism Physics,9,"[[""magnetization dynamics"", ""precessional motion"", ""Landau-Lifshitz-Gilbert equation"", ""ferromagnetic materials"", ""micromagnetics""]]"
Control Systems Engineering,9,"[[""system dynamics"", ""linear time-invariant"", ""signal processing"", ""transfer function"", ""mathematical modeling""], [""signal processing"", ""linear time-invariant systems"", ""transfer function"", ""system dynamics""]]"
Hyperbolic Geometry,9,"[[""hyperbolic plane"", ""isogonal"", ""vertex-transitive"", ""tessellation"", ""uniform tiling""]]"
Physics Units,9,"[[""dimensional analysis"", ""SI units"", ""unit conversion"", ""physical quantities""]]"
Cell Biology,9,"[[""osmosis"", ""electrochemical gradient"", ""active transport"", ""cellular energetics"", ""passive transport""]]"
Structural Engineering,9,"[[""M/EI diagram"", ""deflection curves"", ""support settlement"", ""deflection curve"", ""bending moments"", ""continuous beam"", ""three moment theorem""]]"
Quantum Chemistry,9,"[[""molecular eigenvalues"", ""electromagnetic Hamiltonian"", ""symmetry labels"", ""parity operation""]]"
Aerospace Engineering,9,"[[""spacecraft positioning"", ""celestial positioning"", ""X-ray pulsar-based navigation"", ""pulsar signals"", ""XNAV"", ""deep space navigation""]]"
Mammalian Physiology,9,"[[""reproductive biology"", ""mammary glands"", ""mammalian anatomy"", ""lactation""]]"
Magnetic Resonance Imaging,9,"[[""superconducting quantum interference devices"", ""magnetization measurement"", ""T1 relaxation"", ""magnetization"", ""Larmor precession"", ""ultra-low field MRI""]]"
Magnetic Resonance Spectroscopy,8,"[[""NMR frequency"", ""magnetic susceptibility"", ""magnetic field distortion"", ""Evans balance""]]"
Microbial Ecology,8,"[[""metagenomics"", ""bacteriophages"", ""phageome"", ""microbial communities""]]"
Radiometry,8,"[[""surface radiation"", ""radiant flux"", ""optical physics"", ""radiosity""]]"
Computational Astrophysics,8,"[[""LIGO data"", ""parallel analysis"", ""gravitational waves"", ""binary black holes"", ""distributed computing""]]"
Evolutionary Ecology,8,"[[""mutualistic symbiosis"", ""myrmecophytes"", ""mycorrhiza"", ""coevolutionary dynamics""]]"
Formal Logic,8,"[[""deductive rules"", ""proof framework"", ""formal framework"", ""axioms"", ""theorems""], [""proof principle"", ""deductive rules"", ""formal principle"", ""theorem derivation"", ""axioms""], [""proof principle"", ""deductive rules"", ""proof concept"", ""theorem derivation"", ""formal concept"", ""formal framework"", ""axioms""], [""proof principle"", ""deductive rules"", ""formal concept"", ""axioms"", ""theorems""]]"
Marine Engineering,8,"[[""tugboat performance"", ""bollard pull"", ""maritime propulsion"", ""towing capacity""], [""bollard pull"", ""tugboat propulsion"", ""towing capacity"", ""maritime logistics""], [""tugboat capacity"", ""bollard pull"", ""towing force"", ""maritime propulsion""]]"
Organic Chemistry,8,"[[""ionic stability"", ""chemical reactivity"", ""carbocation"", ""chemical decay"", ""crystalline naphthalene""], [""ionic stability"", ""ion stability"", ""carbocation"", ""chemical kinetics"", ""crystalline naphthalene""], [""carbocation"", ""crystalline naphthalene"", ""ion stability"", ""chemical decay""]]"
Complexity Theory,8,"[[""Ilya Prigogine"", ""complexity from noise"", ""dissipative structures"", ""non-equilibrium thermodynamics""]]"
Projective Geometry,7,"[[""rational normal curve"", ""projective transformations"", ""group isomorphism"", ""isomorphic groups"", ""Hesse's principle of transfer""]]"
Cultural History,7,"[[""triskeles symbol"", ""Trinacria"", ""Sicilian heraldry"", ""Syracuse"", ""feminine divine triad""]]"
Evolutionary Developmental Biology,7,"[[""transcription factors"", ""Antirrhinum majus"", ""bilateral symmetry"", ""developmental pathways"", ""CYCLOIDEA genes"", ""floral morphology""]]"
Chronometry,7,"[[""atomic time scale"", ""leap second"", ""Earth rotation"", ""Universal Time"", ""Earth rotation irregularities"", ""Coordinated Universal Time""]]"
Plant Morphology,7,"[[""organ structure"", ""floral leaves"", ""organography"", ""apical meristems"", ""plant development""], [""organ development"", ""plant anatomy"", ""organography"", ""botanical structure"", ""apical meristems""]]"
Visual Arts & Optics,6,"[[""optical illusion"", ""recursive imagery"", ""self-referential design"", ""self-referentiality"", ""Droste effect""], [""optical illusion"", ""self-referential images"", ""recursive imagery"", ""Droste effect""]]"
Quantum Magnetism,6,"[[""magnetic dipoles"", ""paramagnetism"", ""unpaired electrons"", ""thermal agitation"", ""magnetic moments"", ""dipole interaction"", ""permanent moment"", ""angular momentum""]]"
Mathematical Physics,6,"[[""quantum theory"", ""geometric quantization"", ""classical theory"", ""mathematical approach""], [""geometric quantization"", ""quantum framework"", ""quantization theory"", ""mathematical physics"", ""classical framework""], [""geometric quantization"", ""mathematical framework"", ""classical principle"", ""quantum principle""]]"
Magnetism,5,"[[""magnetic susceptibility"", ""magnetizing field intensity"", ""magnetization"", ""material classification""]]"
Chemical Kinetics,5,"[[""crossover experiment"", ""reaction mechanisms"", ""intramolecular mechanisms"", ""intermolecular pathways""], [""crossover experiment"", ""reaction mechanism analysis"", ""intermolecular mechanism"", ""intramolecular mechanism""], [""intermolecular mechanism"", ""crossover experiment"", ""reaction mechanisms"", ""reaction kinetics"", ""intramolecular mechanism""]]"
Magnetic Resonance Physics,5,"[[""NMR frequency"", ""magnetic susceptibility"", ""crystal susceptibility"", ""magnetic field distortion"", ""Evans balance""]]"
Optics Physics,5,"[[""corpuscular theory"", ""rectilinear propagation"", ""critical angle"", ""Newton's optics""]]"
Biological Sciences,5,"[[""structural anatomy"", ""taxonomical categorization"", ""morphology"", ""body plan""], [""organismal anatomy"", ""structural biology"", ""morphology"", ""functional morphology""], [""anatomical definition"", ""organismal structure"", ""body plan analysis"", ""structural biology"", ""morphology""]]"
Electrical Engineering,5,"[[""resistivity"", ""intrinsic property"", ""electrical current flow"", ""ohm-meters""]]"
