arxiv_category,aggregated_keywords,contributing_domains
astro-ph.CO,"[[""matter-antimatter imbalance"", ""quark-antiquark pairs"", ""baryon asymmetry"", ""early universe""], [""expansion history"", ""galactic observation"", ""galactic observations"", ""redshift-distance relationship"", ""matter and energy content""], [""light-years"", ""gigaparsecs"", ""proper distance"", ""redshift"", ""expansion of the universe""], [""scale factor"", ""Doppler effect"", ""cosmological redshift"", ""expansion of the universe""], [""galaxy distribution"", ""preferred length scale"", ""Baryon Acoustic Oscillations"", ""cosmic microwave background""], [""primordial symmetry"", ""cosmological evolution"", ""baryogenesis"", ""symmetry breaking"", ""matter-antimatter asymmetry""], [""cosmic inflation"", ""metric expansion"", ""inflaton field"", ""conformal cyclic cosmology""], [""Copernican principle"", ""inhomogeneous cosmology"", ""theoretical physics"", ""isotropic universe"", ""Lambda-CDM model"", ""dark energy models""], [""James Webb Space Telescope"", ""redshift"", ""Big Bang chronology"", ""high-redshift galaxy""]]",Cosmology; Observational Cosmology
physics.space-ph,"[[""plasma dynamics"", ""magnetosphere"", ""solar wind"", ""Kelvin-Helmholtz instability"", ""magnetic reconnection""], [""round-trip transit time"", ""Deep Space Network"", ""Lunar Laser Ranging"", ""deep space network"", ""radar astronomy""]]",Space Physics; Space Science
physics.class-ph,"[[""classical physics"", ""Maxwell's equations"", ""unified field theory"", ""electromagnetic theory""], [""magnetic susceptibility"", ""material properties"", ""magnetizing field intensity"", ""magnetization"", ""material classification""], [""electric field"", ""surface charge"", ""conductor proximity"", ""electrostatic interaction""], [""Gauss's law"", ""closed surface"", ""SI fundamental quantities"", ""cylindrical symmetry"", ""electric flux"", ""spherical symmetry""], [""stable equilibrium"", ""point charges"", ""Earnshaw's theorem"", ""electrostatic interaction""], [""macroscopic objects"", ""kinematics"", ""Euclidean space"", ""Newtonian physics"", ""physical quantities""], [""inertial property"", ""kinematics"", ""Newton's laws of motion"", ""constant velocity"", ""F=ma formula"", ""force-mass-acceleration"", ""F=ma""], [""macroscopic objects"", ""Euclidean space"", ""motion dynamics"", ""physical quantities""], [""dimensional quantities"", ""unit conversion"", ""reciprocal length"", ""inverse units""], [""sound wave amplitude"", ""acoustic physics"", ""loudness perception"", ""wave properties""], [""loudness proportionality"", ""frequency relationship"", ""sound wave amplitude"", ""wave mechanics""], [""loudness proportionality"", ""wave mechanics"", ""acoustic properties"", ""sound wave amplitude"", ""loudness perception""], [""propagation constant"", ""complex numbers"", ""sinusoidal waves"", ""phase change""], [""dimensional analysis"", ""SI units"", ""unit conversion"", ""physical quantities""], [""atomic time scale"", ""leap second"", ""Earth rotation"", ""Universal Time"", ""Earth rotation irregularities"", ""Coordinated Universal Time""]]",Electromagnetism; Classical Mechanics; Dimensional Analysis; Acoustics; Wave Physics; Physics Units; Chronometry
math.AT,"[[""cell complex"", ""dimension theory"", ""n-skeleton"", ""critical points"", ""discrete set boundary"", ""CW complex""]]",Algebraic Topology
math-ph,"[[""quantum theory"", ""geometric quantization"", ""classical theory"", ""mathematical approach""], [""geometric quantization"", ""quantum framework"", ""quantization theory"", ""mathematical physics"", ""classical framework""], [""geometric quantization"", ""mathematical framework"", ""classical principle"", ""quantum principle""]]",Mathematical Physics
q-bio.CB,"[[""osmosis"", ""electrochemical gradient"", ""active transport"", ""cellular energetics"", ""passive transport""]]",Cell Biology
physics.ed-ph,"[[""dimensional quantities"", ""unit conversion"", ""reciprocal length"", ""inverse units""], [""dimensional analysis"", ""SI units"", ""unit conversion"", ""physical quantities""]]",Dimensional Analysis; Physics Units
physics.ins-det,"[[""caesium atom transition"", ""time measurement"", ""international system of units"", ""SI base units"", ""international system units"", ""caesium frequency standard""], [""surface radiation"", ""radiant flux"", ""optical physics"", ""radiosity""]]",Metrology; Radiometry
hep-th,"[[""butterfly effect"", ""INUS conditions"", ""unstable equilibrium"", ""Newtonian physics"", ""distributed causality""], [""coordinate framework"", ""gravitational waves"", ""speed of gravity"", ""general relativity""], [""coordinate systems"", ""gravitational waves"", ""propagation speed"", ""general relativity""], [""equations of motion"", ""symmetry groups"", ""explicit symmetry breaking"", ""theoretical framework""], [""regularization"", ""mass-energy"", ""singularities"", ""renormalization"", ""quantum field theory""], [""INUS condition"", ""distributed causality"", ""Newtonian physics"", ""unstable equilibrium""], [""theoretical frameworks"", ""equations of motion"", ""symmetry principles"", ""explicit symmetry breaking"", ""theoretical mechanics""], [""angular momentum formalism"", ""Noether charge"", ""rotational invariance"", ""differential forms""], [""phase space continuity"", ""stochastic differential equations"", ""kinematic dynamo"", ""supersymmetry""], [""Maxwell's equations"", ""classical mechanics"", ""classical electrodynamics"", ""electromagnetism"", ""unified field theory""], [""spontaneous symmetry breaking"", ""local operator"", ""quantum field theory"", ""vacuum expectation value"", ""gauge symmetry""], [""stochastic supersymmetric principle"", ""hydromagnetic dynamo"", ""deterministic chaos"", ""kinematic approximation"", ""induction equation""], [""parity violation"", ""time invariance"", ""Ozma Problem"", ""parity"", ""mirror asymmetry"", ""chirality"", ""subatomic physics""], [""action principle"", ""Hamiltonian mechanics"", ""Euler-Lagrange equations"", ""Poisson algebra"", ""Peierls bracket"", ""quotient algebra"", ""canonical quantization""], [""approximate symmetry"", ""equations of motion"", ""explicit symmetry breaking"", ""symmetry principles""], [""special relativity"", ""spacetime physics"", ""inertial reference frame"", ""relativity of simultaneity""], [""classical mechanics"", ""wave-particle duality"", ""Euclidean space"", ""macroscopic motion"", ""quantum mechanics""], [""information loss paradox"", ""black hole evaporation"", ""Hawking radiation"", ""quantum mechanics""], [""special relativity"", ""Lorentz invariance"", ""Lorentz group"", ""boost velocity"", ""four-tensors"", ""spacetime manifold"", ""four-vectors""], [""special relativity"", ""four-dimensional model"", ""Minkowski space"", ""non-inertial reference frame"", ""spacetime manifold""], [""special relativity"", ""Minkowski diagram"", ""Lorentz transformations"", ""relativistic mechanics""], [""Modified Newtonian dynamics"", ""non-baryonic matter"", ""entropic gravity"", ""tensor\u2013vector\u2013scalar gravity""], [""maximal acceleration"", ""spacetime geometry"", ""Caianiello's theory"", ""quantum gravity""]]",Theoretical Physics
math.GT,"[[""hyperbolic plane"", ""isogonal"", ""vertex-transitive"", ""tessellation"", ""uniform tiling""], [""rational normal curve"", ""projective transformations"", ""group isomorphism"", ""isomorphic groups"", ""Hesse's principle of transfer""]]",Hyperbolic Geometry; Projective Geometry
eess.SY,"[[""system dynamics"", ""linear time-invariant"", ""signal processing"", ""transfer function"", ""mathematical modeling""], [""signal processing"", ""linear time-invariant systems"", ""transfer function"", ""system dynamics""], [""resistivity"", ""intrinsic property"", ""electrical current flow"", ""ohm-meters""]]",Control Systems Engineering; Electrical Engineering
physics.atom-ph,"[[""molecular geometry"", ""identical nuclei"", ""center of mass"", ""molecular rotation"", ""permutation-inversion groups"", ""symmetry operations""], [""identity operation"", ""point group theory"", ""molecular geometry"", ""symmetry groups""], [""identity operation"", ""center of inversion"", ""inversion center"", ""symmetry groups"", ""plane of symmetry"", ""center of mass""], [""caesium atom transition"", ""time measurement"", ""international system of units"", ""SI base units"", ""international system units"", ""caesium frequency standard""]]",Molecular Symmetry; Metrology
cond-mat.mes-hall,"[[""memristive network"", ""Type-II non-crossing curve"", ""two-terminal resistance memory"", ""ReRAM"", ""pinched hysteresis curves""], [""synapse transistor"", ""activity-based forgetting"", ""neuro-inspired circuits"", ""inactivity-based forgetting"", ""short-term potentiation""], [""domain dynamics"", ""resistive switching"", ""ferroelectric memristors"", ""piezoelectric field"", ""non-volatile memory""], [""synapse transistor"", ""synaptic plasticity"", ""neuro-inspired circuits"", ""short-term potentiation""], [""switching mechanism"", ""non-uniform elastic strain"", ""domain dynamics"", ""ferroelectric memristors"", ""piezoelectric field""], [""non-crossing curve"", ""resistance memory"", ""memristor"", ""ReRAM"", ""two-terminal devices"", ""pinched hysteresis curves""], [""thermal fluctuations"", ""memristive devices"", ""resistance-switching processes"", ""free-energy barriers"", ""stochasticity"", ""stochastic switching""], [""memristor"", ""switching resistance states"", ""switching states"", ""two-terminal resistance memory"", ""ReRAM"", ""pinched hysteresis curves""], [""brain\u2013computer interfaces"", ""in-memory computing"", ""physical neural networks"", ""memristor"", ""reconfigurable computing""], [""synapse transistor"", ""inactivity-based forgetting"", ""short-term potentiation"", ""neuro-inspired circuit""], [""magnetic fields"", ""De Haas-Van Alphen effect"", ""magnetization"", ""Fermi surface"", ""differential susceptibility""], [""quantum phenomena"", ""magnetic field"", ""electromagnetic phenomena"", ""spin axis"", ""superconductor"", ""quantum mechanics""], [""density of states"", ""metallic conductivity"", ""electronic entropy"", ""Fermi level"", ""insulator properties""], [""microscopic length scales"", ""permittivity"", ""wavevector dependence"", ""material parameters"", ""spatial dispersion"", ""continuous media""], [""density of states"", ""solid-state physics"", ""electronic entropy"", ""Fermi level"", ""insulators and metals""], [""physical structure"", ""physical systems"", ""phase transitions"", ""symmetry breaking"", ""order parameter""], [""physical framework"", ""physical mechanisms"", ""phase transitions"", ""symmetry breaking"", ""order parameter""], [""magnetic field oscillations"", ""AC permeability"", ""De Haas-Van Alphen effect"", ""Fermi surface"", ""differential susceptibility""], [""collective field"", ""electromagnetic gauge symmetry"", ""superconductors"", ""order parameter""], [""memristive devices"", ""MoOx/MoS2 heterostructure"", ""solution-processing technology"", ""transition metal dichalcogenides"", ""memcapacitive effect""], [""MoOx/MoS2 heterostructure"", ""transition metal dichalcogenides"", ""memcapacitive effect"", ""Atomristor"", ""memristive behavior""], [""switching mechanism"", ""domain dynamics"", ""ferroelectric memristors"", ""piezoelectric field"", ""elastic strain""], [""memristive devices"", ""MoOx/MoS2 heterostructure"", ""transition metal dichalcogenides"", ""Atomristor"", ""atomically thin nanomaterials""], [""spin valve"", ""N\u00e9el temperature"", ""blocking temperature"", ""magnetic pinning"", ""antiferromagnetic layer""], [""magnetization dynamics"", ""precessional motion"", ""Landau-Lifshitz-Gilbert equation"", ""ferromagnetic materials"", ""micromagnetics""], [""magnetic susceptibility"", ""magnetizing field intensity"", ""magnetization"", ""material classification""]]",Neuromorphic Engineering; Condensed Matter Physics; Nanoelectronics; Spintronics; Magnetism Physics; Magnetism
eess.SP,"[[""Optical Signal-to-Noise Ratio"", ""signal power"", ""noise power"", ""bandwidth"", ""dynamic range""], [""resistivity"", ""intrinsic property"", ""electrical current flow"", ""ohm-meters""]]",Optical Engineering; Electrical Engineering
astro-ph.EP,"[[""gravitationally bound"", ""planetary framework"", ""orbital mechanics"", ""non-stellar objects"", ""planetary structure""], [""non-stellar objects"", ""planetary system"", ""gravitationally bound"", ""orbital mechanics""], [""vacuum velocity"", ""light-year"", ""speed of light"", ""astronomical distances"", ""Julian year""], [""gravitationally bound"", ""planetary mechanism"", ""non-stellar objects"", ""orbital dynamics""], [""non-resonant-interacting"", ""hierarchical systems"", ""orbital dynamics"", ""resonant systems""], [""planetary systems"", ""resonant structures"", ""hierarchical frameworks"", ""orbital dynamics""], [""hierarchical structures"", ""resonant systems"", ""orbital dynamics"", ""resonant mechanisms"", ""planetary frameworks""], [""hierarchical systems"", ""orbital dynamics"", ""planetary frameworks"", ""resonant structures"", ""planetary mechanisms""], [""planetary interactions"", ""hierarchical frameworks"", ""orbital dynamics"", ""resonant mechanisms""], [""round-trip transit time"", ""Deep Space Network"", ""Lunar Laser Ranging"", ""deep space network"", ""radar astronomy""]]",Astronomy; Celestial Mechanics; Space Science
astro-ph.IM,"[[""gravitationally bound"", ""planetary framework"", ""orbital mechanics"", ""non-stellar objects"", ""planetary structure""], [""non-stellar objects"", ""planetary system"", ""gravitationally bound"", ""orbital mechanics""], [""vacuum velocity"", ""light-year"", ""speed of light"", ""astronomical distances"", ""Julian year""], [""gravitationally bound"", ""planetary mechanism"", ""non-stellar objects"", ""orbital dynamics""], [""illuminance"", ""luminous flux"", ""radiometric measurement"", ""luminance"", ""surface radiance""], [""light emission"", ""surface reflectance"", ""illuminance"", ""luminous flux"", ""radiometric measurement"", ""luminance"", ""solid angle""], [""LIGO data"", ""parallel analysis"", ""gravitational waves"", ""binary black holes"", ""distributed computing""], [""atomic time scale"", ""leap second"", ""Earth rotation"", ""Universal Time"", ""Earth rotation irregularities"", ""Coordinated Universal Time""]]",Astronomy; Photometry; Computational Astrophysics; Chronometry
nucl-th,"[[""high-voltage transformer"", ""particle kinetic energies"", ""heavy-ion fusion"", ""accelerator-based light-ion fusion""], [""particle kinetic energy"", ""high-voltage transformer"", ""light-ion fusion"", ""accelerator-based fusion""], [""nuclear transmutation"", ""free neutron decay"", ""mass defect"", ""decay energy""], [""nuclear transmutation"", ""beta decay"", ""free neutron decay"", ""MeV units"", ""decay energy""], [""rarefaction"", ""nuclear detonation"", ""atmospheric physics"", ""transient condensation cloud"", ""Wilson cloud"", ""transient condensation""]]",Nuclear Physics
physics.flu-dyn,"[[""pressure-temperature spike"", ""cavitation bubble"", ""acoustic shock wave"", ""implosion""], [""cavitation bubble"", ""implosion"", ""thermal energy release"", ""energy release"", ""vapor pressure"", ""acoustic shock wave""], [""heat transfer"", ""forced convection"", ""density displacement"", ""buoyancy-driven flow"", ""fluid flow"", ""natural convection""], [""fluid mechanics"", ""fluid velocity"", ""aerodynamic effects"", ""Bernoulli's principle"", ""pressure differential""], [""multi-scale motions"", ""time-averaged statistics"", ""coherent turbulent structures"", ""temporal coherence""], [""vapor pressure"", ""implosion dynamics"", ""cavitation bubble"", ""acoustic shock wave""], [""cavitation bubble"", ""vapor implosion"", ""pressure-temperature spikes"", ""acoustic shock wave"", ""pressure enhancement""], [""Bernoulli's principle"", ""fluid mechanics"", ""velocity-pressure relationship"", ""pressure differential""], [""fluid mechanics"", ""viscosity"", ""stress tensor"", ""Cauchy momentum equation"", ""Navier-Stokes equation"", ""constitutive relation"", ""fluid viscosity"", ""momentum conservation""], [""Newtonian fluids"", ""Navier-Stokes equations"", ""momentum balance"", ""partial differential equations"", ""conservation of mass"", ""viscous fluid substances""], [""fluid mechanics"", ""shock wave"", ""water hammer"", ""plumbing systems"", ""hydraulic transients"", ""pressure surge""], [""deposition patterns"", ""evaporation dynamics"", ""coffee ring effect"", ""evaporation kinetics"", ""particle-laden liquid"", ""surface tension""], [""Kutta condition"", ""circulation"", ""Kutta-Joukowski theorem"", ""inviscid flow"", ""airfoil aerodynamics""]]",Fluid Dynamics
